question,prediction
manner How did serfdom develop in and then leave Russia ?,unknown
cremat What films featured the character Popeye Doyle ?,what
manner How can I find a list of celebrities ' real names ?,unknown
animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?,what
exp What is the full form of .com ?,what
ind What contemptible scoundrel stole the cork from my lunch ?,what
gr What team did baseball 's St. Louis Browns become ?,what
title What is the oldest profession ?,what
def What are liver enzymes ?,what
ind Name the scar-faced bounty hunter of The Old West .,unknown
date When was Ozzy Osbourne born ?,when
reason Why do heavier objects travel downhill faster ?,unknown
ind Who was The Pride of the Yankees ?,who
ind Who killed Gandhi ?,who
event What is considered the costliest disaster the insurance industry has ever faced ?,what
state What sprawling U.S. state boasts the most airports ?,what
desc What did the only repealed amendment to the U.S. Constitution deal with ?,what
count How many Jews were executed in concentration camps during WWII ?,unknown
def What is `` Nine Inch Nails '' ?,what
def What is an annotated bibliography ?,what
date What is the date of Boxing Day ?,what
other What articles of clothing are tokens in Monopoly ?,what
ind Name 11 famous martyrs .,unknown
desc What 's the Olympic motto ?,what
desc What is the origin of the name ` Scarlett ' ?,what
letter What 's the second-most-used vowel in English ?,what
ind Who was the inventor of silly putty ?,who
other What is the highest waterfall in the United States ?,what
other Name a golf course in Myrtle Beach .,unknown
state Which two states enclose Chesapeake Bay ?,unknown
exp What does the abbreviation AIDS stand for ?,what
other What does a spermologer collect ?,what
count How many points make up a perfect fivepin bowling score ?,unknown
gr Which company that manufactures video-game hardware sells the `` super system '' ?,unknown
count How many Community Chest cards are there in Monopoly ?,unknown
desc What do Mormons believe ?,what
date When did the neanderthal man live ?,when
religion In what religion was Isis the nature goddess ?,what
other Where do the adventures of `` The Swiss Family Robinson '' take place ?,unknown
animal What relative of the racoon is sometimes known as the cat-bear ?,what
manner How can I register my website in Yahoo for free ?,unknown
other What was cash-conscious Colonel Edwin L. Drake the first to drill ?,what
count How many people in the world speak French ?,unknown
count How many inches over six feet is the Venus de Milo ?,unknown
manner How do they find or choose witnesses to an execution ?,unknown
ind What 1920s cowboy star rode Tony the Wonder Horse ?,what
food What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,what
gr What ISPs exist in the Caribbean ?,what
manner How do you ask a total stranger out on a date ?,unknown
other What weapon is the mythological character Apollo most proficient with ?,what
country What country do the Galapagos Islands belong to ?,what
def What is ethology ?,what
ind Who was the prophet of the Muslim people ?,who
desc Where did the term `` 86ed '' come from ?,unknown
ind Who is Snoopy 's arch-enemy ?,who
def What is the nature of learning ?,what
color What 's the only color Johnny Cash wears on stage ?,what
termeq What 's the term for a young fox ?,what
state What U.S. state lived under six flags ?,what
def What is the Kashmir issue ?,what
other Where is the Loop ?,unknown
def What does `` extended definition '' mean and how would one write a paper on it ?,what
country What country 's capital is Tirana ?,what
def What is titanium ?,what
ind Who do Herb and Tootsie live next door to ?,who
city Which city has the oldest relationship as a sisterðcity with Los Angeles ?,unknown
def What is a caldera ?,what
reason Why do people get calluses ?,unknown
other What are the names of the tourist attractions in Reims ?,what
reason What are Cushman and Wakefield known for ?,what
other What body of water does the Danube River flow into ?,what
ind Who is the founder of Scientology ?,who
other What does the six-footed Musca domestica become when it enters a house ?,what
desc What is the history of skateboarding ?,what
ind Who starred in Singing in the Rain and The Singing Nun ?,who
manner How do I make fuel bricks from recycled newspaper ?,unknown
ind What 19th-century painter died in the Marquesas Islands ?,what
body The corpus callosum is in what part of the body ?,what
manner How do I log on to home page at Headquarters U.S. European Command ?,unknown
"country What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",what
other What is Nebraska 's most valuable resource ?,what
count How many species of the Great White shark are there ?,unknown
desc What is the origin of head lice ?,what
state What is the nickname for the state of Mississippi ?,what
animal What was the first domesticated bird ?,what
count How many villi are found in the small intestine ?,unknown
country What country did King Wenceslas rule ?,what
dismed What is a fear of shadows ?,what
ind Who were the five Marx brothers ?,who
date In which year was New Zealand excluded from the ANZUS alliance ?,unknown
date When did CNN begin broadcasting ?,when
reason What causes the body to shiver in cold temperatures ?,what
def What are bear and bull markets ?,what
cremat What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,what
def What is `` dew point '' ?,what
def What is the meaning of Jesus ?,what
gr What company 's logo is a `` W '' in a circle ?,what
def What is the definition of a cascade ?,what
date When did Rococo painting and architecture flourish ?,when
country What country 's national passenger rail system is called Via ?,what
ind Who invented Make-up ?,who
desc What is the origin of the word `` attic '' ?,what
desc What did Delilah do to Samson 's hair ?,what
animal What kind of animals were in the Paleozoic era ?,what
ind Which of the following was Rhodes Scholar ?,unknown
ind Who comprised the now-defunct comic book team known as the Champions ?,who
manner How do you make a paintball ?,unknown
state What U.S. state is Fort Knox in ?,what
animal What is a female rabbit called ?,what
mount Where is the highest point in Japan ?,unknown
desc Where do chihuahuas come from ?,unknown
other Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,unknown
other What are the world 's four oceans ?,what
cremat What 's the only work by Michelangelo that bears his signature ?,what
animal What is the largest snake in the world ?,what
cremat In what medium is Stuart Hamblen considered to be the first singing cowboy ?,what
other Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,unknown
money How much money does a back injury lawsuit get ?,unknown
termeq What 's the common name for acetylsalicylic acid ?,what
def What does the Georgetown `` Hoya '' mean ?,what
other Where can I find a list of `` classic '' books 5th and 6th graders should read ?,unknown
product Which two products use a tiger as their symbol ?,unknown
manner How is the election of a new Pope announced to the world ?,unknown
period How long does it take for your blood to make one complete trip through the body ?,unknown
manner How do chickens have baby chicks ?,unknown
desc What is the historical relationship of Catholic Church and bingo ?,what
manner How was the element calcium named ?,unknown
ind What crooner joined The Andrews Sisters for Pistol Packin Mama ?,what
gr What piano company claims its product is the `` Instrument of the immortals '' ?,what
date When did the Bounty mutiny take place ?,when
cremat What novel inspired the movie BladeRunner ?,what
def What is a transistor ?,what
cremat What is a film starring Jude Law ?,what
animal What Hollywood dog died in the arms of Jean Harlow in 1932 ?,what
substance What are the most common elements in the Earth 's crust ?,what
"money How much would it cost to purchase a 2-foot-square party tent , with sides , ?",unknown
ind What actress has received the most Oscar nominations ?,what
def What are equity securities ?,what
def What is gymnophobia ?,what
count How many years do fossils take to form ?,unknown
other Where is the Orinoco ?,unknown
animal What was the name of the `` Little Rascals '' dog ?,what
"city What city boasts Penn 's Landing , on the banks of the Delaware river ?",what
cremat What Broadway musical was inspired by Cervantes 's Don Quixote ?,what
"desc What is the origin of the word , JJ .",what
count How many hostages were killed in the Entebbe raid ?,unknown
manner How you can raise your IQ ?,unknown
exp What does INRI stand for when used on Jesus ' cross ?,what
gr Who produces Spumante ?,who
ind Who earns their money the hard way ?,who
ind Who founded the People 's Temple Commune ?,who
ind What athlete makes the most money from sports merchandise sales ?,what
count How many bends are there in a standard paper clip ?,unknown
ind Who discovered electricity ?,who
body What part of your body contains the corpus callosum ?,what
ind Who was the first American in space ?,who
country What two South American countries do n't border Brazil ?,what
cremat What album put The Beatles on the cover of Time in 1967 ?,what
"cremat What poem contains the line , `` grow old with me the best is yet to be '' .",what
def What is a dental root canal ?,what
event What war did the Wanna-Go-Home Riots occur after ?,what
date What is the busiest air travel season ?,what
body What 's the colored part of the eye called ?,what
def What are hook worms ?,what
other Where is the Rose Bowl played ?,unknown
gr Which Japanese car maker had its biggest percentage of sale in the domestic market ?,unknown
ind Who is the mayor of Marbella ?,who
"other What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",what
date In what year did Thatcher become prime minister ?,what
count How many months does it take the moon to revolve around the Earth ?,unknown
other Where are the 49 steps ?,unknown
date In what year was De Gaulle elected president of France ?,what
ind Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,who
ind Who directed `` Jaws '' ?,who
cremat On what T.V. show could Tom Terrific be found ?,what
gr What Indian tribe is F Troop perpetually doing battle with ?,what
desc Where did Indian Pudding come from ?,unknown
reason Why do some clothing labels say `` Use a nonchlorine bleach '' ?,unknown
count How many colonies were involved in the American Revolution ?,unknown
city What is the name of the city that Maurizio Pellegrin lives in ?,what
other Where can I find pictorial directions on how to build a very simple treehouse ?,unknown
"sport What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",what
ind What is the name of the managing director of Apricot Computer ?,unknown
title What is the occupation of Nicholas Cage ?,unknown
reason Why do horseshoes bring luck ?,unknown
"def What is the 401 , K , plan ?",what
reason What causes pneumonia ?,what
date What are the three winter months in the southern hemisphere ?,what
def What does gringo mean ?,what
country What country contains Africa 's northernmost point ?,what
dismed What therapy attempts to elicit the `` primal scream '' ?,what
other Where is the Kalahari desert ?,unknown
gr Which Ventura County police department seized the largest cocaine shipment in it 's history ?,unknown
city What city is sometimes called Gotham ?,what
body What dangles over the tongue from the palate ?,what
ind Who created Dennis the Menace ?,who
ind What dummy received an honorary degree from Northwestern University ?,what
date When was the first Wall Street Journal published ?,unknown
country What countries have the largest areas of forest ?,what
manner How do I start a web based business ?,unknown
ind Name Alvin 's brothers,unknown
def What is Eagle 's syndrome styloid process ?,what
manner How did Jayne Mansfield die ?,unknown
date When did the royal wedding of Prince Andrew and Fergie take place ?,when
ind What actor said in A Day at the Races ,what
ind What explorer was nicknamed Iberia 's Pilot ?,what
date CNN began broadcasting in what year ?,what
termeq What is a ball that hits the foul pole called ?,what
reason What makes hamburgers taste like steakburgers ?,what
gr Which company created the Internet browser Mosaic ?,unknown
event What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,what
other What was the education system in the 1960 's ?,what
city What South American city has the world 's highest commercial landing field ?,what
manner How can I find out which cities have cable-modem access ?,unknown
reason What is Betsy Ross famous for ?,what
count How many species of sharks are there ?,unknown
def What is `` snoogans '' ?,what
count How many people are there in the world ?,unknown
plant What shrubs can be planted that will be safe from deer ?,what
gr What organization 's offices were broken into at Watergate in 1972 ?,what
desc What is the design of the ship Titanic ?,what
exp What does S.O.S. stand for ?,what
techmeth Name a technique widely used to detect birth defects ?,unknown
desc What is the daily requirement of folic acid for an expectant mother ?,what
def What is the `` 7-minute cigarette '' ?,what
other What four forms does gold occur in ?,what
volsize What is the acreage of the Chappellet vineyard ?,what
manner How do you correctly say the word ` qigong ' ?,unknown
date When did beethoven die ?,when
money How much does a new railroad coal car cost ?,unknown
country What two European countries entered the War of American Independence against the British ?,what
def What is the filmmakers collabrative ?,what
ind What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,what
reason What caused Harry Houdini 's death ?,what
"ind Who was the mother of the man who would not be king , the duke of Windsor ?",who
count How many revolutions does a standard LP make in three minutes ?,unknown
mount What is the name of the tallest mountain in the world ?,what
other Where can I find a review of Nightmare on Elm Street in a film journal ?,unknown
techmeth What 's the slowest Olympic swimming stroke ?,what
ind What was the name of the first Russian astronaut to do a spacewalk ?,what
dismed What disease is transmitted by the Anopheles mosquito ?,what
food What rum is so `` mixable '' it is a one-brand bar ?,what
count How many South American countries have the letter Z in their names ?,unknown
def What is the contents of proposition 98 ?,what
other Where was George Washington born ?,unknown
"count How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",unknown
ind Who wrote NN DT NNP NNP '' ?,who
def What is paracetamol ?,what
desc What are the powers and weaknesses of Green Lantern 's ring ?,what
"animal Which mosquito 's bite draws blood , DT NN CC DT NN .",unknown
date When was the first steel mill in the United States built ?,when
ind What diminutive American female gymnast stole the show at the 1984 Olympics ?,what
desc What is the origin of the name Katie ?,what
"gr What schools in the Washington , DC NN NN VBP NN NN NN NN .",what
date When did the Berlin Wall go up ?,unknown
desc Who is Terrence Malick ?,who
instru What instrument is Ray Charles best known for playing ?,what
def What 's the meaning of the Latin battle cry ,what
other What is the mascot for Notre Dame University ?,what
"other What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",what
date When did Mount St. Helen last have a significant eruption ?,when
exp CNN is the abbreviation for what ?,what
date When did World War I start ?,when
count How many feet are there in a fathom ?,unknown
def What is a Canada two-penny black ?,what
city What European city do Nicois live in ?,what
manner How can I find out what year a Beanie Baby was introduced ?,unknown
def What is the classic definition of tragic hero ?,what
other To what does Microsoft 's Windows 3 owe its success ?,what
ind Who was President of Afghanistan in 1994 ?,who
"techmeth What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",what
food What did brontosauruses eat ?,what
color What color bottles do good Rhine wines come in ?,what
ind Who was the lead actress in the movie ` Sleepless in Seattle ' ?,who
ind Who was the 16th President of the United States ?,who
ind Who are the two sons of Ozzie and Harriet Nelson ?,who
def What is molybdenum ?,what
date When is Boxing Day ?,when
other What is the lowest level of the American judiciary ?,what
date When was the battle of the Somme fought ?,when
count How many people did Randy Craft kill ?,unknown
animal What 's the official animal of Canada ?,what
date When did Spielberg direct `` Jaws '' ?,when
volsize What is the size of the largest akita ?,what
animal What animal has the biggest eyes ?,what
city What is California 's capital ?,what
ind Who was the author of the book about computer hackers called `` The Cuckoo 's Egg ,who
ind Who was the founding member of the Pink Floyd band ?,who
country What European country is home to the beer-producing city of Budweis ?,what
manner How do I find the balance of my social security account ?,unknown
desc What is the history of Valentine 's Day cards ?,what
other Where was Christopher Columbus born ?,unknown
termeq What do Italians call Florence ?,what
manner How do you get to the top of the Eiffel Tower ?,unknown
exp What does ` PSI ' stand for ?,what
other What sea did the Romans call mare nostrum ?,what
termeq What 's the term for a bet before cards are dealt ?,what
"animal Which came first , according to Genesis 1 ",unknown
city What city did the Flintstones live in ?,what
termeq What is Latin for incompetent ?,what
dismed What chemicals are used in lethal injection ?,what
gr What toy company is the world 's No.1 maker of female apparel ?,what
sport What board game does a `` wood-pusher '' play poorly ?,what
ind Which Doonesbury character was likely to turn into a werewolf ?,unknown
abb What is the abbreviation for micro ?,what
other What are the 7 articles of the constitution ?,what
gr Who has won the most Super Bowls ?,who
exp What does NASDAQ stand for ?,what
exp What is BPH ?,what
other What is the fastest commercial automobile that can be bought in the US ?,what
other What stadium do the Miami Dolphins play their home games in ?,what
ind Who has the only speaking role in `` Silent Movie '' ?,who
reason Why is poop sometimes different colors ?,unknown
other What was Einstein 's IQ ?,what
date What day was Pearl Harbor attacked in 1942 ?,what
ind What girl 's name is `` Teddy '' an affectionate form of ?,what
state What state is John F. Kennedy buried in ?,what
techmeth What is the best way to remove wallpaper ?,what
state What U.S. state has an element named for it ?,what
gr What company tabulates the ballots in voting for the Academy Awards ?,what
manner How did the tradition of best man start ?,unknown
count How many years ago did the ship Titanic sink ?,unknown
other What is the deepest area of the Arctic Ocean ?,what
color What are Halloween 's colors ?,what
manner How is silk screening done ?,unknown
"other What is the latitude and longitude of El Paso , Texas ?",what
ind Who made a boat out of gopher wood ?,who
other Where can I find a `` Fifth Element '' screensaver ?,unknown
ind Which Bloom County resident wreaks havoc with a computer ?,unknown
manner How do you match a name to a social security number ?,unknown
manner How does a rainbow form ?,unknown
other What is the normal resting heart rate of a healthy adult ?,what
other What is the population of Ohio ?,what
count How many calories are there in a Big Mac ?,unknown
def Hazmat stands for what ?,what
animal What creature scares people in the film `` Jaws '' ?,what
ind What part did John Peter Zenger play in the deveopment of the newspaper in America ?,what
ind Who followed Caesar ?,who
substance What are the four elements ?,what
ind Who was the first woman golfer to earn a million ?,who
other What 's the tallest piece on a chessboard ?,what
other What is Answers.com 's address ?,what
other Where can I buy movies on videotape online ?,unknown
ind Who does the advertizing for Frito-Lay ?,who
gr Who is the leading competitor of Trans Union Company ?,who
product What product did Robert Conrad dare people to knock off his shoulder ?,what
ind Who invented the radio ?,who
count What 's the American dollar equivalent for 8 pounds in the U.K. ?,what
techmeth What are the different approaches of systems analysis ?,what
manner How do doctors diagnose bone cancer ?,unknown
ind Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,who
speed What is the speed of the Mississippi River ?,what
other What are the developmental stages of a swimmer ?,what
ind What actor first portrayed James Bond ?,what
other What ocean is the largest in the world ?,what
"ind Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",who
date What year did Jack Nicklaus join the Professional Golfers Association tour ?,what
count How many sonnets did Shakespeare write ?,unknown
reason What causes the redness in your cheeks when you blush ?,what
ind Who won the Nobel Peace Prize in 1991 ?,who
gr Who are the Challengers of the Unknown ?,who
def Define the Pheonix Club ?,unknown
city Which city did Christian Crusaders fight to recapture from the Muslims ?,unknown
def What does it mean `` Rupee Depreciates '' ?,what
other What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,what
ind Who was the first coach of the Cleveland Browns ?,who
manner How successful is arometherapy ?,unknown
event What Jewish holiday saw the start of the 1973 Mideast War ?,what
manner How does a copier work ?,unknown
speed What is the speed of the Mississippi River ?,what
ind Who said of Super Bowl III in 1969 ,who
animal What is Dudley Do-Right 's horse 's name ?,what
ind Who declared ,who
other Where does chocolate come from ?,unknown
cremat What TV game show once saw a contestant admit to picking his toes in the shower ?,what
ind What Soviet leader owned a Rolls-Royce ?,what
other Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,unknown
event What war did Florence Nightingale tend the troops in ?,what
"ind Who wrote the song , `` Stardust '' ?",who
count How many Beatles ' records went #1 ?,unknown
ind Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,who
abb What is the abbreviation of the company name ` General Motors ' ?,what
mount What mountains lie between the Arkansas and Missouri rivers ?,what
ind Who received the Will Rogers Award in 1989 ?,who
reason What is the function of RAM ?,what
other What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,what
count How many equal angles are there in an isosceles triangle ?,unknown
dismed What is the fear of cockroaches called ?,what
cremat What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,what
desc What is the use of a 24-hour clock instead of a 12-hour clock ?,what
ind What was the name of the lawyer who represented Randy Craft ?,what
ind What United States President had dreamed that he was assassinated ?,what
cremat What film did Lee Marvin win the 1965 best actor Oscar for ?,what
other Where is Basque country located ?,unknown
product What product does `` Mrs. Olsen '' promote ?,what
date What time of day did Emperor Hirohito die ?,when
def What is dry ice ?,what
other What 's the most powerful card in Euchre ?,what
def What does `` intractable plantar keratoma '' mean ?,what
count How many years did it take James Joyce to write Ulysses ?,unknown
food What crop failure caused the Irish Famine ?,what
city What South Korean city is served by Kimpo International Airport ?,what
count How many types of dogs ' tails are there - three,unknown
cremat What is the longest-running television series ?,what
animal What predators exist on Antarctica ?,what
desc What is the difference between a generator and an alternator ?,what
manner How is energy created ?,unknown
food What beer advertised that it had `` three rings '' ?,what
other What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,what
techmeth What golfing accessory was patented by George Grant on December 12,what
other What are the different types of plastic ?,what
manner How is it correct to say ` qigong ' ?,unknown
mount What was the highest mountain on earth before Mount Everest was discovered ?,what
"other Where was the Ligurian Republic , 1797-185 , ?",unknown
country What country 's people are the top television watchers ?,what
date When was the women 's suffrage amendment ratified ?,when
gr What Polynesian people inhabit New Zealand ?,what
cremat What movie tour of the Roman empire features the admonition ,what
city What Nevada center has been dubbed The Biggest Little City in the World ?,what
"ind What President lived at 219 North Delaware Street , Independence , Missouri ?",what
reason Give a reason for American Indians oftentimes dropping out of school .,unknown
other Where must a soccer goalie stand to be permitted to handle the ball ?,unknown
desc What is the difference between classical conditioning and operant conditioning ?,what
state In what U.S. state was the first woman governor elected ?,what
desc What are some interesting facts and information about dogsledding ?,what
date What year did Hitler die ?,when
ind What famous model was married to Billy Joel ?,what
animal What kind of animal is Babar ?,what
reason What is Jane Goodall known for ?,what
other What killed Bob Marley ?,what
money How much money are Dumbo 's ears insured for ?,unknown
ind Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,who
desc Who is Stein Eriksen ?,who
def What does the name Billie mean ?,what
ind Who is the fastest swimmer in the world ?,who
mount What is the highest peak in Africa ?,what
other Where is Procter & Gamble headquartered in the U.S. ?,unknown
other What desert has been called The Garden of Allah ?,what
other What do bicornate animals have two of ?,what
reason What function does a community 's water tower serve ?,what
dismed What is a fear of weakness ?,what
count How many miles is it to Ohio from North Carolina ?,unknown
count How much snow equals an inch of rain ?,unknown
exp What does G.M.T. stand for ?,what
def What does Inuit and Eskimo mean ?,what
cremat What song served as the closing theme of The Johnny Cash Show ?,what
sport What field sport did dentist William Beers promote and write a standard book of rules for ?,what
manner How do I tie dye clothes ?,unknown
date When does the average teenager first have intercourse ?,when
reason Why doesn 't www.answers.com have any answers to my questions ?,unknown
ind What actor 's autobiography is titled All My Yesterdays ?,what
ind What Russian master spy lived in the U.S. under the name Emil Goldfus ?,what
other Where 's the 19th hole on a golf course ?,unknown
reason What 's nature 's purpose for tornadoes ?,what
ind Who played the original Charlie 's Angels ?,who
other Where can I find a person 's address from a telephone number ?,unknown
"word What English word comes from the Old French covrefeu , meaning cover fire ?",what
instru What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,what
other Where did Sarge Steel get his metal hand ?,unknown
reason What makes popcorn pop ?,what
ind Who wrote The Night of the Iguana ?,who
body Where does your hair grow the fastest ?,unknown
country What country did King Gustav V reign over from 197 to 195 ?,what
ind Who painted Mother and Child ?,who
speed What is the speed of the Mississippi River ?,what
other In what area of the world was the Six Day War fought ?,what
other What is the brightest star visible from Earth ?,what
cremat What film marked Robert Redford 's directorial debut ?,what
ind What was Mao 's second name ?,what
cremat What film or films has Jude Law appeared in ?,what
other Where do hyenas live ?,unknown
desc Who is the `` Queen Mother '' ?,who
lang What 's the most commonly-spoken language in Belgium ?,what
ind Who has more DNA - a man or a woman ?,who
def What are Maid-Rites ?,what
cremat What children 's tale contains the line ,what
gr What level of government or governmental agency is responsible for dealing with racism ?,what
count How many referees work a soccer game ?,unknown
food What cocktail do you concoct with whisky and sweet vermouth ?,what
termeq How do you say `` fresh '' in Spanish ?,unknown
desc What do bee hives do in cranberry bogs ?,what
reason What caused the Lynmouth floods ?,what
date When is the Tulip Festival in Michigan ?,what
"ind Who came up with the name , El Nino ?",who
cremat What movie did Madilyn Kahn star in with Gene Wilder ?,what
other What type of bridge is the Golden Gate Bridge ?,what
ind What dictator has the nickname `` El Maximo '' ?,what
gr What stereo manufacturer is `` Slightly ahead of its time '' ?,what
city What U.S. city is The Queen of the Pacific ?,what
ind What TV sitcom character had the maiden name Ethel Potter ?,what
food What was the first Lifesaver flavor ?,what
ind Who kept the most famous diary in the English language ?,who
other Where can I find out the top 1 singles ?,unknown
count How many degrees cooler is the inside of a cucumber than the air outside ?,unknown
ind What Spanish artist painted Crucifixion ?,what
cremat What is the Jewish bible called ?,what
reason Why is the grass green ?,unknown
def What is a firewall ?,what
ind What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,what
gr Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,unknown
period How long does it take for Spider-Man 's web to evaporate ?,unknown
ind Who was Randy Steven Craft 's lawyer ?,who
other What was known as the Spice Island ?,what
ind Who was the first host of Person to Person ?,who
ind Name the Ranger who was always after Yogi Bear .,unknown
"other What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",what
other What does the Statue of Liberty wear on her feet ?,what
ind Who is the superstar in rent-a-cars ?,who
city McCarren Airport is located in what city ?,what
